,Zip_Code,Stars
0,90503,2.7334494773519165
1,90703,2.6788079470198674
2,90802,3.1623711340206184
3,91101,3.1365079365079365
4,91367,2.931318681318681
5,91403,2.979966611018364
6,91709,3.008281573498965
7,91739,3.470404984423676
8,91915,3.796954314720812
9,92008,3.6899055918663763
10,92108,3.720083246618106
11,92122,3.524636058230683
12,92503,3.2701688555347093
13,92591,3.3952483801295896
14,92618,2.9137769447047797
15,92660,3.352051835853132
16,92691,3.203271028037383
17,92802,3.1136107986501687
